Date,Store Number,City,Zip Code,County Number,Category,Vendor Number,Item Number,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Margin,Price per Liter
2016-01-13,3818,KNOXVILLE,50138,63,1031080,260,37416,750,4.5,6.75,1,6.75,0.75,0.2,2.25,9.0
2015-06-08,5001,INDEPENDENCE,50644,10,1041100,65,30236,750,4.72,7.08,1,7.08,0.75,0.2,2.36,9.44
2015-04-22,3970,NEVADA,50201,85,1011200,65,19066,750,10.49,15.74,2,31.48,1.5,0.4,10.5,20.9866666667
2016-01-04,5018,DAVENPORT,52802,82,1052010,420,48099,200,5.65,8.48,24,203.52,4.8,1.27,67.92,42.4
2015-02-04,2548,ALTOONA,50009,77,1081300,421,80826,750,8.84,13.51,12,162.12,9.0,2.38,56.04,18.0133333333
2015-08-25,4956,CEDAR RAPIDS,52405,57,1042100,35,28236,750,13.5,20.25,3,60.75,2.25,0.59,20.25,27.0
2015-10-19,2539,IOWA FALLS,50126,42,1081200,305,73055,750,12.5,18.75,12,225.0,9.0,2.38,75.0,25.0
2016-03-22,4829,DES MOINES,50314,77,1012210,260,5430,750,49.99,74.99,2,149.98,1.5,0.4,50.0,99.9866666667
2015-09-14,3952,BETTENDORF,52722,82,1011500,255,27102,750,18.09,27.14,6,162.84,4.5,1.19,54.3,36.1866666667
2016-02-08,2514,MARION,50129,57,1011300,85,86673,1750,29.67,44.51,6,267.06,10.5,2.77,89.04,25.4342857143
2015-02-02,2648,WEST DES MOINES,50265,77,1081900,259,72722,750,5.43,8.15,3,24.45,2.25,0.59,8.16,10.8666666667
2015-10-28,4462,BUFFALO CENTER,50424,95,1081390,421,69636,750,8.67,13.01,2,26.02,1.5,0.4,8.68,17.3466666667
2015-02-11,2513,IOWA CITY,52240,52,1011100,65,22786,750,3.67,5.51,12,66.12,9.0,2.38,22.08,7.34666666667
2015-03-11,3866,AMES,50010,85,1031200,380,41693,750,6.5,9.75,12,117.0,9.0,2.38,39.0,13.0
2016-02-02,4764,FORT DODGE,50501,94,1031080,300,36901,500,4.67,7.01,6,42.06,3.0,0.79,14.04,14.02
2015-09-21,2190,DES MOINES,50314,77,1062310,260,1799,1750,18.0,27.0,6,162.0,10.5,2.77,54.0,15.4285714286
2015-07-14,5080,SPENCER,51301,21,1012100,115,10549,600,7.12,10.68,10,106.8,6.0,1.59,35.6,17.8
