Date,Store Number,City,Zip Code,County Number,Category,Vendor Number,Item Number,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Margin,Price per Liter
2016-03-02,2622,IOWA CITY,52240,52,1071100,395,58838,1750,8.2,12.3,6,73.8,10.5,2.77,24.6,7.02857142857
2015-03-03,4291,CRESTON,50801,88,1062200,35,43037,1000,9.5,14.25,12,171.0,12.0,3.17,57.0,14.25
2015-04-14,4805,FORT DODGE,50501,94,1062200,434,45277,1000,4.34,6.51,12,78.12,12.0,3.17,26.04,6.51
2015-02-12,2587,JOHNSTON,50131,77,1011100,300,25966,750,9.0,13.5,2,27.0,1.5,0.4,9.0,18.0
2015-10-27,4344,GRIMES,50111,77,1012100,260,10807,750,15.0,22.5,2,45.0,1.5,0.4,15.0,30.0
2015-12-15,4866,COUNCIL BLUFFS,51501,78,1022100,395,89197,1000,12.5,18.75,2,37.5,2.0,0.53,12.5,18.75
2015-11-30,3868,MARION,52302,57,1011200,55,21596,750,4.1,6.15,12,73.8,9.0,2.38,24.6,8.2
2016-01-27,2585,ALGONA,50511,55,1051110,434,55084,375,3.55,5.33,24,127.92,9.0,2.38,42.72,14.2133333333
2015-04-29,4156,OELWEIN,50662,33,1041150,370,33256,750,6.49,9.74,2,19.48,1.5,0.4,6.5,12.9866666667
2015-07-06,3829,MOUNT VERNON,52314,57,1041100,300,31167,1000,4.13,6.2,5,31.0,5.0,1.32,10.35,6.2
2015-06-23,4239,SPIRIT LAKE,51360,30,1081400,434,86506,750,3.42,5.13,3,15.39,2.25,0.59,5.13,6.84
2015-08-27,5098,DES MOINES,50311,77,1051010,115,53210,100,1.0,1.5,48,72.0,4.8,1.27,24.0,15.0
2015-11-03,2629,COUNCIL BLUFFS,51503,78,1031080,55,35317,1000,3.97,5.96,48,286.08,48.0,12.68,95.52,5.96
2016-03-31,4595,DES MOINES,50321,77,1011200,65,19061,500,6.83,10.25,2,20.5,1.0,0.26,6.84,20.5
2015-11-30,4473,PANORA,50216,39,1081600,284,77472,750,10.98,16.47,6,98.82,4.5,1.19,32.94,21.96
2015-08-04,2544,MARSHALLTOWN,50158,64,1032080,260,36871,750,19.0,28.5,6,171.0,4.5,1.19,57.0,38.0
2015-05-19,3889,WAVERLY,50677,9,1062310,260,43338,1750,18.0,27.0,6,162.0,10.5,2.77,54.0,15.4285714286
2015-01-14,2576,STORM LAKE,50588,11,1031080,260,37994,375,4.75,7.13,2,14.26,0.75,0.2,4.76,19.0133333333
2016-02-04,2561,DES MOINES,50321,77,1062310,434,44658,1750,11.0,16.5,6,99.0,10.5,2.77,33.0,9.42857142857
2015-10-07,2637,DAVENPORT,52804,82,1062200,35,43048,1750,15.0,22.5,18,405.0,31.5,8.32,135.0,12.8571428571
2015-10-05,4967,BLUE GRASS,52726,82,1081600,421,64864,375,5.33,8.0,6,48.0,2.25,0.59,16.02,21.3333333333
2015-09-22,4405,ANKENY,50021,77,1011300,85,26826,750,15.07,22.61,3,67.83,2.25,0.59,22.62,30.1466666667
2016-03-02,3013,BLOOMFIELD,52537,26,1071100,434,62097,1000,4.5,6.75,2,13.5,2.0,0.53,4.5,6.75
2016-03-22,4310,CHEROKEE,51012,18,1081390,421,69636,750,8.67,13.01,3,39.03,2.25,0.59,13.02,17.3466666667
2015-06-02,2619,WEST DES MOINES,50266,77,1032200,65,34629,750,6.88,10.82,3,32.46,2.25,0.59,11.82,14.4266666667
2015-05-04,3385,CEDAR RAPIDS,52402,57,1101100,434,41846,750,9.0,13.5,24,324.0,18.0,4.76,108.0,18.0
2015-01-14,2603,BETTENDORF,52722,82,1012100,85,12478,1750,10.5,15.75,6,94.5,10.5,2.77,31.5,9.0
2016-01-05,2619,WEST DES MOINES,50266,77,1052010,420,48099,200,5.65,8.48,3,25.44,0.6,0.16,8.49,42.4
2016-03-14,3525,WASHINGTON,52353,92,1012100,260,10807,750,15.0,22.5,48,1080.0,36.0,9.51,360.0,30.0
2015-12-14,2535,WEST DES MOINES,50265,77,1011200,421,16518,1750,11.8,17.7,12,212.4,21.0,5.55,70.8,10.1142857143
2015-04-07,2604,LEMARS,51031,75,1031200,380,41692,1750,10.99,16.49,6,98.94,10.5,2.77,33.0,9.42285714286
2015-03-26,2567,DAVENPORT,52806,82,1081500,121,74740,750,10.5,15.75,1,15.75,0.75,0.2,5.25,21.0
2015-08-31,2460,HAMPTON,50441,35,1012100,260,11347,1000,9.75,14.63,2,29.26,2.0,0.53,9.76,14.63
2016-03-23,2501,AMES,50010,85,1031200,380,41698,750,6.5,9.75,12,117.0,9.0,2.38,39.0,13.0
2015-10-08,2616,CLINTON,52732,23,1062300,370,42687,750,7.99,11.99,4,47.96,3.0,0.79,16.0,15.9866666667
2015-03-11,3447,SIOUX CITY,51106,97,1011100,297,23827,1000,4.4,6.6,12,79.2,12.0,3.17,26.4,6.6
2015-04-27,4468,MUSCATINE,52761,70,1081600,421,64858,3000,29.72,44.58,1,44.58,3.0,0.79,14.86,14.86
2015-10-15,4604,NEWTON,50208,50,1022100,434,89387,1000,6.92,10.38,4,41.52,4.0,1.06,13.84,10.38
2015-05-27,4273,DES MOINES,50317,77,1062200,434,45278,1750,7.84,11.76,6,70.56,10.5,2.77,23.52,6.72
2015-02-24,4392,CLIVE,50325,77,1032080,370,34001,600,7.92,11.88,1,11.88,0.6,0.16,3.96,19.8
2015-07-21,4297,CEDAR RAPIDS,52402,57,1062310,259,43024,375,2.74,4.11,24,98.64,9.0,2.38,32.88,10.96
2015-05-22,2648,WEST DES MOINES,50265,77,1011100,65,24458,1750,11.02,16.53,6,99.18,10.5,2.77,33.06,9.44571428571
2015-02-12,2593,CARROLL,51401,14,1032200,395,34972,750,9.96,14.94,1,14.94,0.75,0.2,4.98,19.92
2015-01-28,2500,AMES,50010,85,1011300,85,26823,200,4.08,6.12,4,24.48,0.8,0.21,8.16,30.6
2015-01-16,4067,WELLMAN,52356,90,1081200,260,68049,750,13.25,19.88,2,39.76,1.5,0.4,13.26,26.5066666667
2015-07-27,3494,WATERLOO,50702,7,1012100,85,12479,1750,11.06,16.59,18,298.62,31.5,8.32,99.54,9.48
2015-01-15,2626,DES MOINES,50311,77,1031080,260,37418,1750,8.5,12.75,6,76.5,10.5,2.77,25.5,7.28571428571
2016-03-23,2611,OTTUMWA,52501,90,1012100,85,12476,750,5.44,8.16,12,97.92,9.0,2.38,32.64,10.88
2015-10-27,4106,DUBUQUE,52002,31,1071100,55,57148,1750,6.0,9.25,2,18.5,3.5,0.92,6.5,5.28571428571
2015-04-22,2572,CEDAR FALLS,50613,7,1031200,421,41146,750,6.94,10.91,3,32.73,2.25,0.59,11.91,14.5466666667
2015-12-29,2512,IOWA CITY,52240,52,1081200,322,80438,750,10.0,15.0,6,90.0,4.5,1.19,30.0,20.0
2015-06-15,2190,DES MOINES,50314,77,1022100,410,88294,375,14.0,21.0,1,21.0,0.38,0.1,7.0,55.2631578947
2016-02-01,4724,NEWTON,50208,50,1011200,65,20248,1750,10.49,15.74,6,94.44,10.5,2.77,31.5,8.99428571429
2016-01-25,4897,BURLINGTON,52601,29,1032200,260,64573,750,18.49,27.74,12,332.88,9.0,2.38,111.0,36.9866666667
2016-01-19,2619,WEST DES MOINES,50266,77,1012100,260,11298,1750,31.99,47.99,6,287.94,10.5,2.77,96.0,27.4228571429
2015-03-03,4446,URBANDALE,50322,77,1032080,35,34359,200,5.0,7.5,12,90.0,2.4,0.63,30.0,37.5
2015-06-11,4301,DES MOINES,50320,77,1011100,297,23826,750,3.46,5.19,12,62.28,9.0,2.38,20.76,6.92
2015-03-02,2590,CEDAR RAPIDS,52402,57,1031200,380,40390,500,4.89,7.34,1,7.34,0.5,0.13,2.45,14.68
2015-11-17,4344,GRIMES,50111,77,1062300,35,43343,750,8.25,12.38,2,24.76,1.5,0.4,8.26,16.5066666667
2015-06-02,4446,URBANDALE,50322,77,1031200,205,40593,375,3.5,5.25,4,21.0,1.5,0.4,7.0,14.0
2015-09-08,4246,SHENANDOAH,51601,73,1081010,434,76486,750,3.38,5.07,3,15.21,2.25,0.59,5.07,6.76
2016-02-24,3990,OSKALOOSA,52577,62,1062310,260,43322,750,10.24,15.36,2,30.72,1.5,0.4,10.24,20.48
2015-12-26,2460,HAMPTON,50441,35,1012200,260,4626,750,21.99,32.99,36,1187.64,27.0,7.13,396.0,43.9866666667
2015-01-27,2578,CHARLES CITY,50616,34,1022100,330,88036,750,6.51,10.27,12,123.24,9.0,2.38,45.12,13.6933333333
2016-01-06,3916,OTTUMWA,52501,90,1051010,205,52596,750,5.92,8.88,2,17.76,1.5,0.4,5.92,11.84
2015-06-11,3456,CLEAR LAKE,50428,17,1081335,65,73456,750,6.3,9.45,1,9.45,0.75,0.2,3.15,12.6
2016-03-23,3417,MARENGO,52301,48,1081200,300,65200,750,9.49,14.24,4,56.96,3.0,0.79,19.0,18.9866666667
2015-12-22,4008,ANTHON,51004,97,1042100,260,28867,1000,15.5,23.25,2,46.5,2.0,0.53,15.5,23.25
2016-03-14,3784,INDEPENDENCE,50644,10,1031080,434,36301,500,4.13,6.2,1,6.2,0.5,0.13,2.07,12.4
2015-01-12,3868,MARION,52302,57,1032080,267,35213,1750,10.99,16.49,6,98.94,10.5,2.77,33.0,9.42285714286
2016-03-07,2539,IOWA FALLS,50126,42,1012100,260,10807,750,15.0,22.5,12,270.0,9.0,2.38,90.0,30.0
2015-07-14,2556,ESTHERVILLE,51334,32,1012100,65,15246,750,4.2,6.3,1,6.3,0.75,0.2,2.1,8.4
2016-01-21,5101,WATERLOO,50701,7,1031080,297,35918,1750,7.2,10.8,6,64.8,10.5,2.77,21.6,6.17142857143
2015-01-07,2178,WAUKON,52172,3,1011100,65,24453,200,1.77,2.66,48,127.68,9.6,2.54,42.72,13.3
2015-03-02,4696,WEST DES MOINES,50266,77,1081600,421,64858,3000,29.72,44.58,1,44.58,3.0,0.79,14.86,14.86
2015-02-18,4428,AMES,50014,85,1062310,260,43336,750,9.0,13.5,24,324.0,18.0,4.76,108.0,18.0
2015-04-07,4582,SPIRIT LAKE,51360,30,1081300,434,80571,500,4.55,6.83,1,6.83,0.5,0.13,2.28,13.66
2015-03-05,2130,WATERLOO,50703,7,1031080,260,37418,1750,8.5,12.75,6,76.5,10.5,2.77,25.5,7.28571428571
2015-09-29,3889,WAVERLY,50677,9,1062300,370,42718,1750,16.49,24.74,6,148.44,10.5,2.77,49.5,14.1371428571
2016-03-24,4419,LAMONI,50140,27,1031080,260,37991,500,7.47,11.21,1,11.21,0.5,0.13,3.74,22.42
2016-02-15,2506,BURLINGTON,52601,29,1031200,380,41694,1000,7.5,11.25,12,135.0,12.0,3.17,45.0,11.25
2015-09-08,4103,AMES,50010,85,1071100,395,58872,1750,8.2,12.3,6,73.8,10.5,2.77,24.6,7.02857142857
2015-05-19,4895,CEDAR RAPIDS,52402,57,1012210,240,5006,750,22.98,34.47,1,34.47,0.75,0.2,11.49,45.96
2015-12-14,3612,MAQUOKETA,52060,49,1012100,65,10627,1000,9.71,14.57,12,174.84,12.0,3.17,58.32,14.57
2015-10-15,5043,WATERLOO,50702,7,1041100,370,32234,375,3.39,5.09,24,122.16,9.0,2.38,40.8,13.5733333333
2015-03-16,4721,BURLINGTON,52601,29,1011200,65,19066,750,10.49,15.74,12,188.88,9.0,2.38,63.0,20.9866666667
2016-01-12,2660,SIOUX CENTER,51250,84,1051100,434,54446,750,5.48,8.22,4,32.88,3.0,0.79,10.96,10.96
2015-02-24,4592,EMMETSBURG,50536,74,1052010,420,48105,375,9.99,14.99,12,179.88,4.5,1.19,60.0,39.9733333333
2015-09-02,4509,AMES,50010,85,1052010,420,48106,750,18.99,28.49,12,341.88,9.0,2.38,114.0,37.9866666667
2015-04-09,5029,DAVENPORT,52806,82,1052010,389,49189,200,5.42,8.13,24,195.12,4.8,1.27,65.04,40.65
2015-07-15,4438,AMES,50010,85,1012100,260,11290,300,7.35,11.03,1,11.03,0.3,0.08,3.68,36.7666666667
2015-07-15,2576,STORM LAKE,50588,11,1062200,434,45277,1000,4.34,6.51,12,78.12,12.0,3.17,26.04,6.51
2015-01-20,4829,DES MOINES,50314,77,1081010,434,76487,1000,4.05,6.08,24,145.92,24.0,6.34,48.72,6.08
2015-10-05,4605,MARION,52302,57,1012100,115,11788,1750,9.45,14.68,6,88.08,10.5,2.77,31.38,8.38857142857
2015-07-16,4958,CEDAR FALLS,50613,7,1081600,421,64866,750,8.98,13.47,12,161.64,9.0,2.38,53.88,17.96
2015-01-21,3738,DUBUQUE,52001,31,1011200,65,19066,750,10.49,15.74,1,15.74,0.75,0.2,5.25,20.9866666667
2016-02-29,4312,COUNCIL BLUFFS,51501,78,1012200,35,4867,1000,17.5,26.25,12,315.0,12.0,3.17,105.0,26.25
2015-11-20,2648,WEST DES MOINES,50265,77,1062200,35,43126,750,8.26,12.39,12,148.68,9.0,2.38,49.56,16.52
2015-08-25,4193,HARTLEY,51346,71,1051120,434,55506,750,5.48,8.22,3,24.66,2.25,0.59,8.22,10.96
2015-03-05,3731,DAVENPORT,52807,82,1011200,65,20248,1750,9.44,14.16,6,84.96,10.5,2.77,28.32,8.09142857143
2015-04-29,2290,STORM LAKE,50588,11,1031080,380,37336,750,6.25,9.5,2,19.0,1.5,0.4,6.5,12.6666666667
2015-04-02,2663,URBANDALE,50322,77,1031080,301,38174,375,5.42,8.13,12,97.56,4.5,1.19,32.52,21.68
2015-03-19,2626,DES MOINES,50311,77,1062300,370,42716,750,7.49,11.24,12,134.88,9.0,2.38,45.0,14.9866666667
2015-09-14,4223,EVANSDALE,50707,7,1031200,380,41692,1750,10.99,16.49,6,98.94,10.5,2.77,33.0,9.42285714286
2015-05-13,4837,IOWA CITY,52240,52,1031080,260,37996,750,8.25,12.38,12,148.56,9.0,2.38,49.56,16.5066666667
2015-06-10,3896,IOWA CITY,52240,52,1022100,410,88294,375,14.0,21.0,2,42.0,0.75,0.2,14.0,56.0
2015-04-14,3626,SPENCER,51301,21,1062310,260,43336,750,9.0,13.5,12,162.0,9.0,2.38,54.0,18.0
2015-12-01,3632,DUBUQUE,52003,31,1012200,35,4866,750,13.73,20.6,12,247.2,9.0,2.38,82.44,27.4666666667
2015-10-20,4678,ADEL,50003,25,1081010,434,76486,750,3.38,5.07,2,10.14,1.5,0.4,3.38,6.76
2015-03-09,2507,BURLINGTON,52601,29,1012100,65,15248,1750,9.18,13.77,6,82.62,10.5,2.77,27.54,7.86857142857
2015-02-11,2623,SIOUX CITY,51104,97,1082900,192,65256,750,12.05,18.08,12,216.96,9.0,2.38,72.36,24.1066666667
2015-11-18,4118,LAKE VIEW,51450,81,1012300,370,15627,1000,18.49,27.74,3,83.22,3.0,0.79,27.75,27.74
2015-06-15,4621,MAXWELL,50161,85,1012100,115,11788,1750,10.45,15.68,12,188.16,21.0,5.55,62.76,8.96
2015-12-22,2548,ALTOONA,50009,77,1012300,370,15628,1750,28.49,42.74,12,512.88,21.0,5.55,171.0,24.4228571429
2015-07-06,2558,MOUNT PLEASANT,52641,44,1012100,260,11297,1000,18.5,27.75,12,333.0,12.0,3.17,111.0,27.75
2015-08-03,2487,ANAMOSA,52205,53,1012100,260,11299,200,4.72,7.08,4,28.32,0.8,0.21,9.44,35.4
2015-12-14,2190,DES MOINES,50314,77,1022100,395,89197,1000,12.5,18.75,3,56.25,3.0,0.79,18.75,18.75
2015-04-30,3831,MADRID,50156,8,1062310,259,43025,750,5.78,8.67,12,104.04,9.0,2.38,34.68,11.56
2016-01-26,2509,CEDAR RAPIDS,52404,57,1062300,370,42218,750,7.49,11.24,3,33.72,2.25,0.59,11.25,14.9866666667
2016-01-06,2637,DAVENPORT,52804,82,1082900,259,65195,750,9.83,14.75,6,88.5,4.5,1.19,29.52,19.6666666667
2015-06-24,2290,STORM LAKE,50588,11,1062300,370,42712,500,4.95,7.43,1,7.43,0.5,0.13,2.48,14.86
2015-07-08,3869,CORALVILLE,52241,52,1011100,492,27474,750,10.0,15.0,2,30.0,1.5,0.4,10.0,20.0
2016-03-07,2569,CEDAR RAPIDS,52402,57,1011300,85,26826,750,15.07,22.61,12,271.32,9.0,2.38,90.48,30.1466666667
2015-12-26,2506,BURLINGTON,52601,29,1062200,434,45248,1750,7.84,11.76,6,70.56,10.5,2.77,23.52,6.72
2015-04-30,2571,WATERLOO,50703,7,1052010,420,48105,375,9.99,14.99,12,179.88,4.5,1.19,60.0,39.9733333333
2016-02-16,3625,ANKENY,50021,77,1012100,65,15248,1750,9.45,14.18,6,85.08,10.5,2.77,28.38,8.10285714286
2015-04-20,2506,BURLINGTON,52601,29,1051010,115,53216,750,6.3,9.45,6,56.7,4.5,1.19,18.9,12.6
2015-10-08,2633,DES MOINES,50320,77,1031080,260,36186,750,5.26,7.89,3,23.67,2.25,0.59,7.89,10.52
2015-06-02,3942,TOLEDO,52342,86,1081390,421,69636,750,8.67,13.01,12,156.12,9.0,2.38,52.08,17.3466666667
2015-10-20,3783,POCAHONTAS,50574,76,1081390,421,69706,750,8.32,12.48,4,49.92,3.0,0.79,16.64,16.64
2016-02-18,3456,CLEAR LAKE,50428,17,1012100,260,10836,750,17.0,25.5,1,25.5,0.75,0.2,8.5,34.0
2016-03-22,4182,DYERSVILLE,52040,31,1031200,380,40411,750,6.5,9.75,3,29.25,2.25,0.59,9.75,13.0
2015-10-26,2558,MOUNT PLEASANT,52641,44,1011100,260,25608,1750,11.96,17.94,12,215.28,21.0,5.55,71.76,10.2514285714
2015-06-02,4743,COUNCIL BLUFFS,51503,78,1081600,421,64868,1750,15.33,23.0,6,138.0,10.5,2.77,46.02,13.1428571429
2015-01-26,2191,KEOKUK,52632,56,1081312,380,83363,750,5.15,7.73,36,278.28,27.0,7.13,92.88,10.3066666667
2015-03-03,4411,DE SOTO,50069,25,1031080,434,36304,375,2.07,3.11,8,24.88,3.0,0.79,8.32,8.29333333333
2015-01-12,2648,WEST DES MOINES,50265,77,1012100,65,10632,750,9.97,14.96,3,44.88,2.25,0.59,14.97,19.9466666667
2015-07-23,2515,MASON CITY,50401,17,1011200,259,17956,750,7.47,11.21,3,33.63,2.25,0.59,11.22,14.9466666667
2015-06-26,2613,COUNCIL BLUFFS,51501,78,1051010,205,52598,1750,11.83,17.75,6,106.5,10.5,2.77,35.52,10.1428571429
2015-05-05,2607,SHENANDOAH,51601,73,1031080,461,37988,1750,17.15,25.73,6,154.38,10.5,2.77,51.48,14.7028571429
2015-12-02,3721,DECORAH,52101,96,1032080,65,34578,1750,12.59,18.89,6,113.34,10.5,2.77,37.8,10.7942857143
2015-06-09,2602,WEBSTER CITY,50595,40,1031080,380,37335,750,6.5,9.75,12,117.0,9.0,2.38,39.0,13.0
2016-03-01,3621,SHELDON,51201,71,1012100,65,15247,1000,6.81,10.22,12,122.64,12.0,3.17,40.92,10.22
2015-10-27,2602,WEBSTER CITY,50595,40,1031080,55,35317,1000,3.97,5.96,3,17.88,3.0,0.79,5.97,5.96
2015-05-13,4879,SIOUX CITY,51106,97,1031100,300,36886,750,3.31,4.97,12,59.64,9.0,2.38,19.92,6.62666666667
2015-02-19,4969,CLEAR LAKE,50428,17,1081600,421,64868,1750,15.33,23.0,6,138.0,10.5,2.77,46.02,13.1428571429
2015-07-07,3700,AVOCA,51521,78,1031080,297,35917,1000,4.17,6.26,12,75.12,12.0,3.17,25.08,6.26
2015-12-14,2527,DES MOINES,50315,77,1081030,259,67426,750,5.21,8.15,12,97.8,9.0,2.38,35.28,10.8666666667
2015-06-10,2545,IOWA CITY,52245,52,1022100,395,89193,200,3.0,4.5,4,18.0,0.8,0.21,6.0,22.5
2015-04-22,4662,CEDAR RAPIDS,52405,57,1062310,260,43331,500,5.5,8.25,12,99.0,6.0,1.59,33.0,16.5
2016-03-23,2502,ANKENY,50021,77,1042100,65,28718,1750,12.59,18.89,6,113.34,10.5,2.77,37.8,10.7942857143
2015-09-15,4700,ALLISON,50602,12,1012100,115,10552,600,5.94,8.91,1,8.91,0.6,0.16,2.97,14.85
2015-10-19,2633,DES MOINES,50320,77,1011200,461,22121,750,11.4,17.1,1,17.1,0.75,0.2,5.7,22.8
2015-10-13,2602,WEBSTER CITY,50595,40,1081600,421,64866,750,8.98,13.47,12,161.64,9.0,2.38,53.88,17.96
2015-03-24,2228,WINTERSET,50273,61,1032080,370,34368,1750,9.99,14.99,18,269.82,31.5,8.32,90.0,8.56571428571
2015-04-08,2585,ALGONA,50511,55,1071100,260,58801,1750,11.0,16.5,6,99.0,10.5,2.77,33.0,9.42857142857
2015-10-26,2527,DES MOINES,50315,77,1031080,260,37416,750,4.5,6.75,12,81.0,9.0,2.38,27.0,9.0
2015-11-18,3723,ONAWA,51040,67,1081312,65,82787,1000,7.62,11.43,3,34.29,3.0,0.79,11.43,11.43
2015-12-09,4273,DES MOINES,50317,77,1052010,389,49189,200,5.7,8.55,1,8.55,0.2,0.05,2.85,42.75
2015-12-09,4200,SIOUX CITY,51108,97,1051010,259,52316,750,5.92,8.88,3,26.64,2.25,0.59,8.88,11.84
2015-06-10,2501,AMES,50010,85,1081305,65,82605,750,6.3,9.45,12,113.4,9.0,2.38,37.8,12.6
2015-05-06,2285,IOWA CITY,52240,52,1032200,115,34839,750,8.25,12.38,12,148.56,9.0,2.38,49.56,16.5066666667
2016-01-12,4700,ALLISON,50602,12,1012100,115,10548,1750,12.99,19.49,6,116.94,10.5,2.77,39.0,11.1371428571
2015-09-03,3888,GRINNELL,50112,79,1031080,297,35916,750,3.37,5.06,12,60.72,9.0,2.38,20.28,6.74666666667
2016-01-19,4146,WAVERLY,50677,9,1012200,260,10006,750,5.5,8.25,2,16.5,1.5,0.4,5.5,11.0
2015-07-07,3783,POCAHONTAS,50574,76,1011100,260,25607,1000,8.0,12.0,12,144.0,12.0,3.17,48.0,12.0
2015-11-23,2594,SIOUX CITY,51106,97,1081390,260,69947,1000,15.75,23.63,12,283.56,12.0,3.17,94.56,23.63
2015-12-08,2848,ANKENY,50023,77,1071100,395,58872,1750,8.2,12.3,6,73.8,10.5,2.77,24.6,7.02857142857
2015-12-16,2545,IOWA CITY,52245,52,1012210,260,5430,750,49.99,74.99,2,149.98,1.5,0.4,50.0,99.9866666667
2015-11-30,4098,WASHINGTON,52353,92,1031200,260,77858,750,8.25,12.38,12,148.56,9.0,2.38,49.56,16.5066666667
2015-02-12,4813,GRAND MOUND,52751,23,1062310,260,43331,500,5.5,8.25,1,8.25,0.5,0.13,2.75,16.5
2015-08-27,5037,JEFFERSON,50129,37,1032080,370,34008,1750,19.99,29.99,2,59.98,3.5,0.92,20.0,17.1371428571
2015-08-18,2509,CEDAR RAPIDS,52404,57,1012100,115,11786,750,5.23,7.85,24,188.4,18.0,4.76,62.88,10.4666666667
2015-07-15,2594,SIOUX CITY,51106,97,1051100,434,54447,1000,6.53,9.8,12,117.6,12.0,3.17,39.24,9.8
2015-06-17,2500,AMES,50010,85,1011200,65,19477,1000,22.04,33.06,4,132.24,4.0,1.06,44.08,33.06
2015-09-16,2625,DAVENPORT,52804,82,1081370,65,82867,1000,7.62,11.43,6,68.58,6.0,1.59,22.86,11.43
2015-02-09,2521,WEST DES MOINES,50265,77,1031080,380,37338,1750,10.99,16.49,6,98.94,10.5,2.77,33.0,9.42285714286
2016-01-06,3857,WAUKON,52172,3,1011200,65,19067,1000,12.59,18.89,12,226.68,12.0,3.17,75.6,18.89
2016-02-11,4988,CEDAR FALLS,50613,7,1031200,380,41783,500,4.89,7.34,1,7.34,0.5,0.13,2.45,14.68
2015-12-10,2587,JOHNSTON,50131,77,1022100,395,89191,500,11.5,17.25,1,17.25,0.5,0.13,5.75,34.5
2015-04-28,4726,ANKENY,50021,77,1032080,115,34821,1750,14.75,22.13,6,132.78,10.5,2.77,44.28,12.6457142857
2015-07-06,4487,CEDAR RAPIDS,52402,57,1011100,65,24456,750,5.51,8.27,6,49.62,4.5,1.19,16.56,11.0266666667
2016-02-10,2501,AMES,50010,85,1012100,55,12408,1750,7.94,12.51,6,75.06,10.5,2.77,27.42,7.14857142857
2015-07-14,2544,MARSHALLTOWN,50158,64,1081200,305,80488,750,10.0,15.0,6,90.0,4.5,1.19,30.0,20.0
2015-06-11,4917,PERRY,50220,25,1062200,35,43121,500,5.54,8.31,8,66.48,4.0,1.06,22.16,16.62
2016-03-02,2576,STORM LAKE,50588,11,1062200,451,43426,750,6.5,9.75,2,19.5,1.5,0.4,6.5,13.0
2015-08-11,4236,EAGLE GROVE,50533,99,1011100,260,25606,750,7.0,10.5,12,126.0,9.0,2.38,42.0,14.0
2015-11-23,4183,DECORAH,52101,96,1031080,297,35916,750,3.37,5.06,12,60.72,9.0,2.38,20.28,6.74666666667
2015-08-31,2549,INDIANOLA,50125,91,1081600,421,64867,1000,11.34,17.01,12,204.12,12.0,3.17,68.04,17.01
2015-08-04,4904,LARCHWOOD,51241,60,1062200,434,45277,1000,4.34,6.51,12,78.12,12.0,3.17,26.04,6.51
2015-01-06,3989,CHEROKEE,51012,18,1081330,65,82847,1000,7.62,11.43,12,137.16,12.0,3.17,45.72,11.43
2015-10-12,3918,DAVENPORT,52802,82,1081300,434,80576,750,3.42,5.13,12,61.56,9.0,2.38,20.52,6.84
2015-10-14,2543,OTTUWMA,52501,90,1031080,434,36668,1750,7.04,10.56,6,63.36,10.5,2.77,21.12,6.03428571429
2015-12-18,2647,CEDAR RAPIDS,52411,57,1012200,260,5290,750,12.25,18.38,1,18.38,0.75,0.2,6.13,24.5066666667
2015-12-07,4621,MAXWELL,50161,85,1031080,259,35416,750,3.82,6.06,12,72.72,9.0,2.38,26.88,8.08
2015-09-16,4456,IOWA CITY,52246,52,1011100,260,25606,750,7.0,10.5,12,126.0,9.0,2.38,42.0,14.0
2015-11-02,3790,MT PLEASANT,52641,44,1062200,35,43126,750,8.26,12.39,12,148.68,9.0,2.38,49.56,16.52
2015-12-14,4361,DES MOINES,50313,77,1012100,115,11774,375,3.07,4.61,24,110.64,9.0,2.38,36.96,12.2933333333
2015-06-17,3354,DAVENPORT,52807,82,1022100,421,88767,1000,6.64,9.96,144,1434.24,144.0,38.04,478.08,9.96
2015-04-06,4230,CLIVE,50325,77,1081900,322,75216,750,10.0,15.0,2,30.0,1.5,0.4,10.0,20.0
2015-08-12,2585,ALGONA,50511,55,1011200,421,16518,1750,11.8,17.7,6,106.2,10.5,2.77,35.4,10.1142857143
2015-11-12,3858,DAVENPORT,52806,82,1051010,205,52596,750,5.92,8.88,12,106.56,9.0,2.38,35.52,11.84
2016-02-11,3831,MADRID,50156,8,1031080,55,37935,750,3.64,5.46,12,65.52,9.0,2.38,21.84,7.28
2015-05-27,4697,IOWA CITY,52240,52,1031100,300,36908,1750,7.47,11.21,6,67.26,10.5,2.77,22.44,6.40571428571
2015-01-21,3648,FAIRBANK,50629,10,1011200,259,17956,750,7.47,11.21,3,33.63,2.25,0.59,11.22,14.9466666667
2015-11-05,4849,DES MOINES,50314,77,1022100,410,88296,750,27.0,40.5,2,81.0,1.5,0.4,27.0,54.0
2016-02-29,2613,COUNCIL BLUFFS,51501,78,1032200,434,4139,600,3.0,4.5,10,45.0,6.0,1.59,15.0,7.5
2015-04-08,4472,CENTERVILLE,52544,4,1081900,65,85526,750,5.25,7.88,2,15.76,1.5,0.4,5.26,10.5066666667
2015-09-15,4253,WINTERSET,50273,61,1031080,434,36306,750,3.34,5.01,24,120.24,18.0,4.76,40.08,6.68
2015-12-29,4062,DES MOINES,50314,77,1051010,205,52581,375,3.5,5.25,24,126.0,9.0,2.38,42.0,14.0
2015-12-08,2597,CHEROKEE,51012,18,1042100,260,28866,750,12.5,18.75,12,225.0,9.0,2.38,75.0,25.0
